day;accident_location;type_of_street;flooring;intersection_type;road_surface_conditions;meteorological_conditions;nature_of_the_accident;type_vehicle_a;type_vehicle_b;type_vehicle_c;vehicle_a_circumstances_1;vehicle_a_circumstances_2;vehicle_b_circumstances_1;vehicle_b_circumstances_2;vehicle_a_registration_year;vehicle_b_registration_year;vehicle_c_registration_year;vehicle_a_driver_age;vehicle_a_driver_sex;vehicle_a_driver_outcome;vehicle_a_driver_licence;vehicle_a_release_year;vehicle_b_driver_age;vehicle_b_driver_sex;vehicle_b_driver_outcome;vehicle_b_driver_licence;vehicle_b_release_year;vehicle_c_driver_age;vehicle_c_driver_sex;vehicle_c_driver_outcome;vehicle_c_driver_licence;vehicle_c_release_year;injured_pedestrians;pedestrians_fatality;tot_death_within_24h;tot_deaths_within_30_days;tot_injured;hour;trimester;cubic_capacity_a;cubic_capacity_b;cubic_capacity_c;fatality
3;7;1;1;7;1;1;4;1;10;  ;21;  ;22;  ;(2002,2012];2021;           ;45-54;1;2;2;(2017,2022];30-44;1;1;3;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;8;2;1242;12902;     ;0
3;7;1;1;7;1;1;4;1;1;  ;20;  ;22;  ;(2002,2012];           ;           ;30-44;2;2;2;(2007,2012];18-29;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;8;2;875;1596;     ;0
7;7;1;1;8;1;7;4;1;1;16;23;  ;20;  ;(2002,2012];(2002,2012];2019;55-64;2;2;2;(2017,2022];30-44;1;2;2;(2017,2022];18-29;1;2; ;           ;0;0;1;0;3;0;2;     ;     ;     ;1
6;7;1;1;7;1;1;3;1;10;  ;20;  ;22;  ;(2002,2012];2021;           ;18-29;2;2;2;(2012,2017];45-54;1;1;4;(2017,2022];     ; ; ; ;           ;0;0;0;0;3;9;2;     ;     ;     ;0
1;7;1;1;7;1;1;4;6;1;1;20;  ;22;  ;2021;(2002,2012];2019;55-64;1;1;4;(2017,2022];18-29;1;2;2;(2017,2022];18-29;1;1;2;(2012,2017];0;0;0;0;2;18;2;     ;     ;     ;0
2;7;1;1;7;1;1;3;1;12;  ;21;  ;20;  ;(2002,2012];2018;           ;30-44;2;2;2;(2012,2017];18-29;1;1;3;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;13;2;     ;12419;     ;0
3;7;1;1;7;1;1;4;1;1;  ;20;  ;22;  ;(2002,2012];           ;           ;45-54;1;2;2;(1992,1997];18-29;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;2;15;2;998;1997;     ;0
4;7;1;1;7;1;1;4;1;8;  ;0;  ;0;  ;           ;2018;           ;18-29;1;1;2;(2017,2022];30-44;2;2;2;           ;     ; ; ; ;           ;0;0;0;0;1;22;2;999;1248;     ;0
6;7;1;1;7;1;1;10;8;  ;  ;71;  ;75;  ;2019;           ;           ;45-54;1;3;2;(2012,2017];     ; ; ; ;           ;     ; ; ; ;           ;0;0;1;0;0;9;2;     ;     ;     ;1
6;7;1;1;7;1;1;4;16;1;  ;23;  ;23;  ;2018;2015;           ;45-54;1;2;2;(2017,2022];45-54;2;1;2;(1987,1992];     ; ; ; ;           ;0;0;0;0;1;18;2;647;1497;     ;0
